,region,exposure_category,wri_category,vulnerability_category,susceptibility_category,wri,exposure,vulnerability,susceptibility,lack_of_coping_capabilities,lack_of_adaptive_capacities,year,exposure_Sklearn
47,fiji,Very High,Very High,Medium,Medium,-0.5683634636812873,27.71,0.09355204345139181,-0.35056250001106265,0.25527262139659646,0.26481103602717193,2015.0,0.2770710207352499
48,japan,Very High,Very High,Very Low,Low,-0.5826691646041972,45.91,-1.5978349518114199,-1.0197941537140105,-2.2578121445373127,-0.9056669697911972,2015.0,0.4593809476109385
49,chile,Very High,Very High,Low,Low,-0.8389796394729953,30.95,-0.9827064844805459,-0.8292490300902544,-0.8972893601856664,-0.9781525887299842,2015.0,0.3095261945307022
50,netherlands,Very High,High,Very Low,Very Low,-1.1858928868535545,30.57,-1.7674062311318857,-1.2568136977338045,-1.947896532618005,-1.558037540240281,2015.0,0.305719723530001
51,katar,Very Low,Very Low,Very Low,Very Low,-2.164641258329291,0.28,-1.5069931950325988,-1.819154184525865,-1.7851739564250784,-0.5144093675647895,2015.0,0.0023039166583191
52,vanuatu,Very High,Very High,High,High,2.177138971773792,63.66,0.8471060449214218,0.7239260995453368,0.6644422528194739,0.9666036193890656,2014.0,0.6371832114594811
53,philippines,Very High,Very High,High,High,1.1936220333237526,52.46,0.5451653485803879,0.440432135129505,0.5881449453099278,0.4493198842349938,2014.0,0.5249924872282881
54,tonga,Very High,Very High,Medium,Medium,1.1912377498366011,55.27,0.3055161426019739,0.05004700380278519,0.707654887161164,-0.03583954252575175,2014.0,0.5531403385755785
55,guatemala,Very High,Very High,High,High,0.2911707334368681,36.3,0.8159602997401112,0.8652083375492928,0.6428359356486294,0.7804473707508164,2014.0,0.3631172994089952
56,bangladesh,Very High,Very High,High,High,0.13500016502843776,31.7,1.1724060501484381,1.0845676018185924,0.9946137870864492,1.1733523734076514,2014.0,0.3170389662426124
57,solomon islands,Very High,Very High,Very High,High,0.11234947190049732,29.98,1.4215720115989183,1.5576772014502593,0.953426744979526,1.5160116629364628,2014.0,0.2998096764499649
58,costa rica,Very High,Very High,Low,Medium,-0.10819675066102681,42.61,-0.5942498293025393,-0.5234473438843241,-0.4530094633601661,-0.6799731108227008,2014.0,0.4263247520785335
59,el salvador,Very High,Very High,High,High,-0.1332317272761184,32.6,0.43009912332721467,0.3242460841394099,0.2721525566863191,0.6107651264168379,2014.0,0.3260542922969047
60,cambodia,Very High,Very High,High,High,-0.1332317272761184,27.65,1.2416188172180158,1.2435101195730425,1.0560567515410395,1.1552309686729547,2014.0,0.276469998998297
61,brunei darussalam,Very High,Very High,Low,Low,-0.23933234245436513,41.1,-0.6980689799069065,-0.9891210362526255,-0.5563146673332688,-0.437805247549935,2014.0,0.4111990383652208
62,nicaragua,Very High,Very High,High,High,-0.4014636195806748,27.23,0.6126477964732264,0.8531249882463227,0.7009029130452753,0.13960860331472122,2014.0,0.2722628468396273
63,mauritius,Very High,Very High,Low,Low,-0.412192895272857,37.35,-0.6911477031999483,-0.8989606606843115,-0.6508423049557157,-0.38261733313063107,2014.0,0.3736351798056696
64,fiji,Very High,Very High,Medium,Medium,-0.5469049122969228,27.71,0.14978741669542378,-0.3050175680229455,0.27755413597903117,0.35953656077672314,2014.0,0.2770710207352499
65,japan,Very High,Very High,Very Low,Low,-0.5790927393734696,45.91,-1.5926439942812014,-1.0281595493852973,-2.2308042480737567,-0.9171987728041862,2014.0,0.4593809476109385
66,chile,Very High,Very High,Low,Low,-0.8270582220372371,30.95,-0.953291058475975,-0.7799861444704543,-0.8628542921946324,-0.9797999891604112,2014.0,0.3095261945307022
67,netherlands,Very High,High,Very Low,Very Low,-1.1906614538278577,30.57,-1.7795184653690619,-1.2800509079318236,-1.96950284978885,-1.5448583367968651,2014.0,0.305719723530001
68,qatar,Very Low,Very Low,Very Low,Very Low,-2.164641258329291,0.28,-1.4922854820303133,-1.8256606033813103,-1.7932763253641455,-0.4575740527150589,2014.0,0.0023039166583191
69,vanuatu,Very High,Very High,High,High,3.515914149809421,82.55,0.8886337051631684,1.0269393205275048,0.6678182398774183,0.8133953793593565,2021.0,0.8264048883101272
70,solomon islands,Very High,Very High,High,Very High,1.540535280704312,51.13,1.1594286563228924,1.6227413900047127,0.6630918579962963,1.0638002447842574,2021.0,0.5116698387258339
71,tonga,Very High,Very High,Medium,High,1.4630460673718848,63.63,0.03472119144225057,-0.017805649975430066,0.573290602254972,-0.5844238858579363,2021.0,0.6368827005910047
72,dominica,Very High,Very High,Medium,Medium,1.094674268606961,61.74,-0.27154530284063244,-0.4825498539358105,-0.012780751004199353,-0.33319532021782156,2021.0,0.6179505158769909
73,antigua and barbuda,Very High,Very High,Low,Medium,1.0779842841968996,67.73,-0.6288562128373282,-0.44722929443482173,-0.4665134115919444,-0.8315339504219833,2021.0,0.6779525192827808
74,brunei darussalam,Very High,Very High,Low,Very Low,0.5403283578442114,58.17,-0.7274844059114769,-1.2345059759437063,-0.2153399744808713,-0.7211581215833753,2021.0,0.5821897225282981
75,guyana,Very High,Very High,High,Medium,0.4282670339480855,43.93,0.18525895981858218,-0.24645979832393733,0.39908967006503415,0.2606925349511047,2021.0,0.4395472302914955
76,philippines,Very High,Very High,High,High,0.3758127972307504,42.68,0.22159566253011076,0.001713606590905661,0.730611599155187,-0.25988600106382087,2021.0,0.4270259441049784
77,papua new guinea,Very High,Very High,Very High,Very High,0.3173978517955357,30.62,1.79272547500953,2.4788002136997336,1.0020409586139272,1.701344211359498,2021.0,0.3062205749774617
78,guatemala,Very High,Very High,High,High,0.23752435497595695,36.79,0.6429283820661663,0.36607306249584376,0.9682810880344818,0.32988335302903754,2021.0,0.3680256435941099
79,cape verde,Very High,Very High,Medium,High,-0.06170322266157035,37.23,0.003575446260940539,0.0230918399730832,0.09390044002684775,-0.12397546555359519,2021.0,0.3724331363317639
80,costa rica,Very High,Very High,Low,Low,-0.1403845777375735,44.27,-0.7793939812136604,-0.8041528430763939,-0.4043952497257649,-1.0193375994906588,2021.0,0.4429530201342282
81,bangladesh,Very High,Very High,High,High,-0.23933234245436513,28.11,0.8817124284562108,0.3679320393116856,0.9622043113301815,1.0176730327323018,2021.0,0.2810778323149354
82,fiji,Very High,Very High,Medium,Medium,-0.25959875209515404,34.51,-0.08640115092951134,-0.6089602774130343,0.3585778253696992,-0.14539167114914575,2021.0,0.3451868175899028
83,cambodia,Very High,Very High,High,High,-0.29059443742812474,26.89,0.9699587064699223,0.9553687131176065,1.032424842135428,0.665129340620928,2021.0,0.2688570569968947
84,east timor,Very High,Very High,High,High,-0.2965551461460038,28.27,0.7078153511938957,1.22863830504631,0.29713486091510893,0.5704038158713768,2021.0,0.2826805569468095
85,el salvador,Very High,Very High,High,Medium,-0.3478172411197634,31.62,0.07884433044910634,-0.39982538563086306,0.4956428999222473,-0.025131439727976757,2021.0,0.3162376039266753
86,kiribati,Very High,Very High,High,High,-0.3692757925041279,26.41,0.8471060449214218,1.027868808935426,0.7765250231432321,0.560519413288815,2021.0,0.2640488831012721
87,nicaragua,Very High,Very High,High,High,-0.4908742503488602,26.02,0.5797717321151767,0.340047387074063,0.8082593014879116,0.3685972631440715,2021.0,0.2601422418110788
88,uruguay,Very High,Very High,Low,Low,-0.6804247875774132,35.97,-1.1003681884988283,-0.8729349852625303,-1.152513981766273,-0.9641496850713548,2021.0,0.3598116798557547
89,jamaica,Very High,Very High,Medium,Medium,-0.7412240164997792,25.92,-0.10197402352016637,-0.3431265927476964,0.21611117152443998,-0.2508252986964726,2021.0,0.2591405389161574
90,chile,Very High,Very High,Low,Low,-0.8246739385500855,32.51,-1.1003681884988283,-1.005851827595199,-0.8020865251516308,-1.2738609659916271,2021.0,0.3251527596914754
91,japan,Very High,High,Very Low,Low,-1.0225694679836692,38.51,-1.94303362757094,-0.993768478292229,-2.1538317431526215,-2.040725866355386,2021.0,0.3852549333867574
92,netherlands,Very High,High,Very Low,Very Low,-1.2228492809044045,31.75,-1.939572989217461,-1.2967816992743972,-1.8216346166508792,-2.1675756994982636,2021.0,0.3175398176900731
93,vanuatu,Very High,Very High,High,High,2.1711782630559133,63.66,0.8401847682144636,0.6086695369631623,0.6664678450542407,1.046502540264774,2017.0,0.6371832114594811
94,tonga,Very High,Very High,Medium,Medium,1.2317705691181784,55.27,0.3591560370808972,-0.015017184751668008,0.6840229777555527,0.2030335198861602,2017.0,0.5531403385755785
95,philippines,Very High,Very High,High,High,1.1268620956835078,52.46,0.45259327262482735,0.4051115756285159,0.6482375149413405,0.1429034041755757,2017.0,0.5249924872282881
96,guatemala,Very High,Very High,High,High,0.2649436150782005,36.3,0.7623204052611885,0.762964612678009,0.6387847511790957,0.7219646554706586,2017.0,0.3631172994089952
97,bangladesh,Very High,Very High,High,High,0.1588429998999538,31.7,1.2260459446273608,1.0947919743057206,1.0189208939036498,1.2894941037527532,2017.0,0.3170389662426124
98,solomon islands,Very High,Very High,High,High,0.06347166041388928,29.98,1.303910307580636,1.4647283606581831,0.9243932562812035,1.2977311059048882,2017.0,0.2998096764499649
99,costa rica,Very High,Very High,Low,Medium,-0.1284631603018153,42.61,-0.6288562128373282,-0.6321974876110533,-0.4611118322992333,-0.6725598088857797,2017.0,0.4263247520785335
100,cambodia,Very High,Very High,High,High,-0.15707456214763443,27.65,1.1793273268553957,1.2156254673354192,1.0459287903672065,1.0152019320866612,2017.0,0.276469998998297
101,el salvador,Very High,Very High,Medium,Medium,-0.1785331135319993,32.6,0.3297406110763263,0.09559193579090267,0.28160532044856385,0.5143922012368595,2017.0,0.3260542922969047
102,brunei darussalam,Very High,Very High,Low,Very Low,-0.24052448419794112,41.1,-0.6997992990836457,-1.1313327626645018,-0.49622209770185616,-0.3916780354979794,2017.0,0.4111990383652208
103,mauritius,Very High,Very High,Low,Low,-0.37285221773485544,37.35,-0.6141484998350427,-0.9277748013298552,-0.6636710557759048,-0.12232806512316853,2017.0,0.3736351798056696
104,nicaragua,Very High,Very High,High,High,-0.4002714778370988,27.23,0.6135129560615961,0.7611056358621672,0.677271003639663,0.2508081323685425,2017.0,0.2722628468396273
105,fiji,Very High,Very High,Medium,Medium,-0.56478703845056,27.71,0.10306879892345873,-0.3040880796150246,0.2599990032777193,0.2475133315076886,2017.0,0.2770710207352499
106,japan,Very High,Very High,Very Low,Low,-0.5683634636812873,45.91,-1.5762059621021767,-1.0541852248070787,-2.2416074066591793,-0.8323576506371966,2017.0,0.4593809476109385
107,chile,Very High,Very High,Low,Low,-0.7746039853199017,30.95,-0.8321687161042136,-0.7771976792466919,-0.8763582404264102,-0.6190192948969024,2017.0,0.3095261945307022
108,netherlands,Very High,High,Very Low,Very Low,-1.1715871859306448,30.57,-1.735395326362206,-1.2967816992743972,-2.0181170634232513,-1.3438754842847738,2017.0,0.305719723530001
109,katar,Very Low,Very Low,Very Low,Very Low,-2.163449116585715,0.28,-1.323579362298217,-1.7894105554724007,-1.5049670306156822,-0.3587300268894399,2017.0,0.0023039166583191
110,vanuatu,Very High,Very High,High,High,4.586457435540495,99.88,0.7986571079727172,0.6235413514898949,0.8805054245279241,0.6544212378231524,2019.0,1.0
111,antigua and barbuda,Very High,Very High,Medium,Medium,1.497618177935583,69.95,-0.30442136719868157,-0.4862678075674938,0.3599282201928777,-0.8784848626891522,2019.0,0.7001903235500351
112,tonga,Very High,Very High,Medium,Medium,1.3295261920913946,61.41,0.026934755146922756,-0.039183883357607606,0.5807177737824498,-0.5967793890861385,2019.0,0.6146448963237503
113,solomon islands,Very High,Very High,High,Very High,1.325949766860667,48.31,1.1438557837322374,1.6506260422423353,0.6502631071761072,1.0119071312258072,2019.0,0.4834218170890514
114,guyana,Very High,Very High,High,Medium,0.5522497752799695,44.98,0.284752312481101,-0.20463281996750315,0.5645130359043165,0.30681974700305975,2019.0,0.4500651106881698
115,papua new guinea,Very High,Very High,Very High,Very High,0.4699919949732389,32.54,1.7849390387142035,2.4946015166343867,1.0054169456718716,1.6609829008140375,2019.0,0.3254532705599519
116,brunei darussalam,Very High,Very High,Low,Very Low,0.41038490779444864,57.62,-0.8589886633436753,-1.2410123947991516,-0.2821845182281727,-1.0102768971233105,2019.0,0.5766803566062305
117,guatemala,Very High,Very High,High,High,0.29236287518044407,38.56,0.5278621568129931,0.33261147981069644,0.8534975280643675,0.17173291170804736,2019.0,0.3857557848342182
118,philippines,Very High,Very High,High,High,0.29236287518044407,41.93,0.1549783742256423,0.0230918399730832,0.6522886994108741,-0.37438033097849605,2019.0,0.4195131723930682
119,bangladesh,Very High,Very High,High,High,0.06466380215746528,32.48,0.8894988647515379,0.40139362199683293,1.0000153663791604,0.9657799191738516,2019.0,0.324852248822999
120,cape verde,Very High,Very High,Medium,High,-0.025938970354296105,38.26,-0.03881737356917613,0.2340857085710959,-0.24909984506031663,-0.014423336930201177,2019.0,0.382750676149454
121,fiji,Very High,Very High,Medium,Medium,-0.048589663482236554,38.43,-0.09851338516668753,-0.6572936746249138,0.502394874038137,-0.311779114622271,2019.0,0.3844535710708204
122,costa rica,Very High,Very High,Low,Low,-0.10342818368672327,44.92,-0.7681469065648538,-0.8794414041179758,-0.1674009582580584,-1.2096123492049748,2019.0,0.4494640889512171
123,djibouti,Very High,Very High,High,High,-0.21191308235212156,27.04,1.1525073796159342,0.9990546682898822,0.882531016762691,1.3306791145134276,2019.0,0.2703596113392767
124,east timor,Very High,Very High,High,Very High,-0.22025807455715224,27.92,0.9656329085280739,1.6562029726898602,0.5077964533308481,0.6700715419122091,2019.0,0.2791745968145848
125,cambodia,Very High,Very High,High,High,-0.3704679342477037,26.82,0.7675113627914071,1.1412663947017587,0.5131980326235592,0.5547535117823206,2019.0,0.2681558649704497
126,el salvador,Very High,Very High,Medium,Medium,-0.37285221773485544,31.87,-0.010267107152975371,-0.38774203632789295,0.4274479613517684,-0.2079928875053714,2019.0,0.3187418611639787
127,nicaragua,Very High,Very High,High,High,-0.5314070696304375,25.95,0.4811435390410281,0.16158561275327676,0.7805762076127657,0.2796376399010147,2019.0,0.2594410497846338
128,uruguay,Very High,Very High,Low,Low,-0.6816169293209889,36.03,-1.1064243056174163,-0.9101145215793607,-0.9958681822776468,-1.1395978309118284,2019.0,0.3604127015927076
129,chile,Very High,Very High,Low,Low,-0.6899619215260197,34.32,-0.9740548885968484,-0.9984159203318329,-0.5772457870925246,-1.1939620451159187,2019.0,0.3432835820895522
130,jamaica,Very High,Very High,Medium,Medium,-0.7543375756791131,26.18,-0.17637774811996262,-0.37287022180116075,0.22826472493304076,-0.4526318514237778,2019.0,0.261744966442953
131,japan,Very High,High,Very Low,Low,-1.078600129931732,38.94,-2.0719424062380285,-1.0978711799793544,-2.121422267396354,-2.356203048782153,2019.0,0.3895622558349193
132,netherlands,Very High,Medium,Very Low,Very Low,-1.2979542107496802,31.73,-2.1108745877146666,-1.3395381660387524,-2.011365089307362,-2.3891510573906922,2019.0,0.3173394771110888
133,vanuatu,Very High,Very High,High,High,3.7555346402681584,86.77,0.8453757257446821,0.9479328058542406,0.6354087641211514,0.799392475700727,2020.0,0.8686767504758088
134,tonga,Very High,Very High,High,High,1.368866869629396,61.21,0.08749592633280372,0.01379695589387579,0.575991391901327,-0.4641636544367667,2020.0,0.6126414905339076
135,dominica,Very High,Very High,Medium,Medium,1.2198491516824204,62.74,-0.18762482276876863,-0.23158798379720513,-0.007379171711488217,-0.32083981698961933,2020.0,0.6279675448262045
136,antigua and barbuda,Very High,Very High,Low,Medium,1.0970585520941125,68.92,-0.6686535539023356,-0.4909152496070977,-0.5407851268667238,-0.8142362459024999,2020.0,0.689872783732345
