,region,wri_category,vulnerability_category,susceptibility_category,wri,exposure,vulnerability,susceptibility,lack_of_coping_capabilities,lack_of_adaptive_capacities,year,exposure_Sklearn,vulnerability_categorymap,susceptibility_categorymap,wri_categorymap
57,solomon islands,Very High,Very High,High,0.1123494719004973,29.98,1.4215720115989183,1.5576772014502591,0.953426744979526,1.5160116629364628,2014.0,0.2998096764499649,5,4,5
58,costa rica,Very High,Low,Medium,-0.1081967506610268,42.61,-0.5942498293025393,-0.5234473438843241,-0.4530094633601661,-0.6799731108227008,2014.0,0.4263247520785335,2,3,5
59,el salvador,Very High,High,High,-0.1332317272761184,32.6,0.4300991233272146,0.3242460841394099,0.2721525566863191,0.6107651264168379,2014.0,0.3260542922969047,4,4,5
60,cambodia,Very High,High,High,-0.1332317272761184,27.65,1.2416188172180158,1.2435101195730425,1.0560567515410395,1.1552309686729547,2014.0,0.276469998998297,4,4,5
61,brunei darussalam,Very High,Low,Low,-0.2393323424543651,41.1,-0.6980689799069065,-0.9891210362526256,-0.5563146673332688,-0.437805247549935,2014.0,0.4111990383652208,2,2,5
62,nicaragua,Very High,High,High,-0.4014636195806748,27.23,0.6126477964732264,0.8531249882463227,0.7009029130452753,0.1396086033147212,2014.0,0.2722628468396273,4,4,5
63,mauritius,Very High,Low,Low,-0.412192895272857,37.35,-0.6911477031999483,-0.8989606606843115,-0.6508423049557157,-0.382617333130631,2014.0,0.3736351798056696,2,2,5
64,fiji,Very High,Medium,Medium,-0.5469049122969228,27.71,0.1497874166954237,-0.3050175680229455,0.2775541359790311,0.3595365607767231,2014.0,0.2770710207352499,3,3,5
65,japan,Very High,Very Low,Low,-0.5790927393734696,45.91,-1.5926439942812014,-1.0281595493852973,-2.2308042480737567,-0.9171987728041862,2014.0,0.4593809476109385,1,2,5
66,chile,Very High,Low,Low,-0.8270582220372371,30.95,-0.953291058475975,-0.7799861444704543,-0.8628542921946324,-0.9797999891604112,2014.0,0.3095261945307022,2,2,5
67,netherlands,High,Very Low,Very Low,-1.1906614538278577,30.57,-1.779518465369062,-1.2800509079318236,-1.96950284978885,-1.5448583367968651,2014.0,0.305719723530001,1,1,4
